Player ID,Player Name,Registration Type,Email,Rank,Check-In
1001,Maria Johnson,Early-Bird,maria.johnson@gmail.com,B,YES
1002,Aisha Patel,Early-Bird,aisha.patel@yahoo.com,B,NO
1003,Olivia Kim,Early-Bird,olivia.kim@hotmail.com,B,YES
1004,Julia Anderson,Early-Bird,julia.anderson@yahoo.com,B,YES
1013,MARY,Early-Bird,mary@gmail.com,A,YES
1005,Sofia Garcia,Wildcard,sofia.garcia@yahoo.com,A,YES
1006,Claire Dubois,Wildcard,claire.dubois@yahoo.com,A,YES
1007,James Smith,Wildcard,james.smith@gmail.com,A,YES
1008,Thomas Schmidt,Standard,thomas.schmidt@gmail.com,C,YES
1009,Emma Chen,Last-Minute,emma.chen@hotmail.com,D,YES
1010,Alexander Brown,Last-Minute,alexander.brown@gmail.com,D,YES
1011,Priya Singh,Last-Minute,priya.singh@gmail.com,D,YES
1012,ewfgf,Last-Minute,priya.singh@gmail.com,C,YES
1013,gerrbh,Wildcard,priya.singh@gmail.com,A,YES
1014,rh,Standard,priya.singh@gmail.com,C,YES
1015,rhre,Standard,priya.singh@gmail.com,C,YES
1016,rhh,Early-Bird,priya.singh@gmail.com,B,YES
1017,reh,Standard,priya.singh@gmail.com,C,YES
1018,reh,Standard,priya.singh@gmail.com,C,YES
1019,reh,Last-Minute,priya.singh@gmail.com,D,YES
1020,reh,Last-Minute,priya.singh@gmail.com,D,YES
1021,reh,Last-Minute,priya.singh@gmail.com,D,YES
1022,reh,Last-Minute,priya.singh@gmail.com,D,YES
